cluster,topic,is_pillar,keyword_type,search_volume,difficulty_score,affinity
genetica,Genética da cor da pelagem em gatos e felinos: guia completo,true,informational,,,1.0
genetica,Como fazer o quadro de Punnett passo a passo com exemplos,false,informational,,,1.0
genetica,Por que gatos tricolores são quase sempre fêmeas: a genética do laranja ligado ao X,false,informational,,,1.1
genetica,Albinismo e leucismo: qual a diferença genética,false,informational,,,1.0
genetica,Melanismo: a genética da pantera negra em onças e leopardos,false,informational,,,1.0
genetica,Tigre branco: a genética por trás da cor e o problema da endogamia,false,informational,,,1.1
genetica,Coeficiente de endogamia de Wright: o que é e como calcular pelo pedigree,false,informational,,,1.2
genetica,Depressão endogâmica: o que a consanguinidade faz com uma linhagem,false,informational,,,1.1
genetica,Herança quantitativa e poligênica: o que é e exemplos em animais,false,informational,,,1.0
genetica,Simulador de genética online para praticar herança mendeliana,false,commercial,,,1.4
